               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033381,            0.027115,            0.011752,             0.54554,             0.60096,             0.55103,             0.30009,            0.044794,            0.016352,            0.015728,            0.002872,            0.002872,            0.002872
                  38,            0.033281,            0.026184,            0.011384,             0.64168,             0.55204,             0.57464,             0.31213,            0.042936,            0.016617,            0.014748,            0.002674,            0.002674,            0.002674
                  39,            0.033033,            0.026898,             0.01155,             0.58631,             0.60417,             0.59095,             0.32464,            0.044317,             0.01656,            0.014874,            0.002476,            0.002476,            0.002476
                  40,            0.032467,            0.027107,            0.010891,             0.57849,             0.62144,             0.59442,             0.32509,            0.043974,            0.016867,            0.014814,            0.002278,            0.002278,            0.002278
                  41,            0.031795,            0.026769,            0.010943,             0.55042,             0.62325,             0.58832,             0.32554,            0.043697,            0.016651,            0.015932,             0.00208,             0.00208,             0.00208
                  42,            0.031545,            0.026578,            0.011163,             0.59418,             0.63343,             0.59411,             0.32594,             0.04399,            0.016554,            0.015693,            0.001882,            0.001882,            0.001882
                  43,            0.031753,            0.026971,            0.011142,             0.62903,             0.58667,             0.59618,             0.32945,            0.044409,            0.016769,            0.015246,            0.001684,            0.001684,            0.001684
                  44,            0.031167,            0.026498,            0.011242,              0.6088,             0.58983,             0.57612,             0.32169,            0.044199,            0.016658,            0.015753,            0.001486,            0.001486,            0.001486
                  45,            0.030847,            0.026444,            0.010441,             0.64261,             0.58445,             0.59163,             0.33519,            0.043745,             0.01669,             0.01546,            0.001288,            0.001288,            0.001288
                  46,            0.030569,             0.02552,            0.010305,             0.67157,             0.58815,             0.60784,              0.3403,            0.043572,            0.016585,            0.015862,             0.00109,             0.00109,             0.00109
                  47,            0.030263,            0.023742,            0.010159,             0.63842,             0.59989,             0.60119,             0.33966,            0.043514,            0.016677,            0.015706,            0.000892,            0.000892,            0.000892
                  48,            0.029608,            0.025692,           0.0099297,             0.64355,             0.58064,              0.5959,             0.33648,            0.043621,            0.016671,            0.015356,            0.000694,            0.000694,            0.000694
                  49,            0.030182,            0.025124,            0.010482,              0.6386,             0.58543,             0.59878,              0.3369,             0.04366,            0.016749,            0.015119,            0.000496,            0.000496,            0.000496
